book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ps,11,2,1096,על,,εις [10.2],False
Ps,11,2,1097,יתר,,φαρετραν [10.2],False
Ps,11,2,1098,לירות,,του κατατοξευσαι [10.2],False
Ps,11,2,1099,במו,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] [10.2],True
Ps,11,2,1100,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν [10.2],False
Ps,11,2,1101,אפל,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εν σκοτομηνη [10.2],False
Ps,11,2,1102,לישרי,,τους ευθεις [10.2],False
Ps,11,2,1103,לב,,τη καρδια [10.2],False
Ps,11,3,1104,כי,,οτι [10.3],False
Ps,11,3,1105,"השתות •^[Etymological exegesis.] •^[Questionable notation, equivalent, etc.] שית",,α κατηρτισω [10.3],False
Ps,11,3,1106,יהרסון •^[Change from passive to active form in verbs.],,καθειλον [10.3],False
Ps,11,3,1107,צדיק,,ο δε δικαιος [10.3],False
Ps,11,3,1108,מה,,τι [10.3],False
Ps,11,3,1109,פעל,,εποιησεν [10.3],False
Ps,11,4,1110,יהוה,,κυριος [10.4],False
Ps,11,4,1111,בהיכל,,εν ναω [10.4],False
Ps,11,4,1112,קדשו,,αγιω αυτου [10.4],False
Ps,11,4,1113,יהוה,,κυριος [10.4],False
Ps,11,4,1114,בשמים,,εν ουρανω [10.4],False
Ps,11,4,1115,כסאו,,ο θρονος αυτου [10.4],False
Ps,11,4,1116,עיניו,,οι οφθαλμοι αυτου [10.4],False
